satellite,norad_id,window,set_epoch,lead_h,t,radial_km,in_track_km,cross_km,altitude_km,speed_km_s
B,39451,storm,2024-05-09T22:10:01.904160Z,12.0,2024-05-10T10:10:01.904160Z,-0.055639115761406455,-1.0913041528784464,0.022907298576378216,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,24.0,2024-05-10T22:10:01.904160Z,-0.0029874711405271648,-2.0553767327931176,0.1117768720575516,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,36.0,2024-05-11T10:10:01.904160Z,-0.051658652901132446,0.013031439912645104,-0.10617832517890889,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,48.0,2024-05-11T22:10:01.904160Z,-0.28015769444216887,4.519302006971508,0.027369142141325353,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,72.0,2024-05-12T22:10:01.904160Z,-0.36468788117539575,17.66347379729898,-0.07778566343745563,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,96.0,2024-05-13T22:10:01.904160Z,0.05076221452867784,30.622794774176676,-0.10580836456826148,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,120.0,2024-05-14T22:10:01.904160Z,0.48167260507799625,42.093633245748244,-0.03152534435346954,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,144.0,2024-05-15T22:10:01.904160Z,0.3266942254711038,52.718070926796834,0.029753426426438523,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-09T22:10:01.904160Z,168.0,2024-05-16T22:10:01.904160Z,-0.24212377987599076,65.23118013978169,0.10513925544689329,502.76928616134956,7.611079555615221
B,39451,storm,2024-05-10T12:23:16.418400Z,6.0,2024-05-10T18:23:16.418400Z,-0.05035487253372145,-0.375356639102121,0.40354559240081317,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,12.0,2024-05-11T00:23:16.418400Z,-0.06790364338350154,0.2927920463736211,-0.13685492918572117,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,24.0,2024-05-11T12:23:16.418400Z,0.04993828754237428,2.360608011121679,0.21841239117875133,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,36.0,2024-05-12T00:23:16.418400Z,-0.002504511215323635,8.84390778714924,-0.25058988212789934,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,48.0,2024-05-12T12:23:16.418400Z,-0.32711549490671077,14.361721159466228,0.2438304127126001,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,72.0,2024-05-13T12:23:16.418400Z,-0.5354859615433649,28.20491944762492,0.05809112802663474,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,96.0,2024-05-14T12:23:16.418400Z,-0.018893058301147382,41.27528737696763,-0.12706339880526585,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,120.0,2024-05-15T12:23:16.418400Z,0.6319971172299264,52.18784795592172,-0.13110534637197446,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,144.0,2024-05-16T12:23:16.418400Z,0.5503491665437021,62.15730279073969,0.05986304104834517,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T12:23:16.418400Z,168.0,2024-05-17T12:23:16.418400Z,-0.13257572540903162,74.49521584279883,0.2804937181116003,502.75428448197545,7.6110878524265075
B,39451,storm,2024-05-10T13:58:04.687680Z,6.0,2024-05-10T19:58:04.687680Z,-0.07399724868496951,-0.9704859203901269,0.21852437265728997,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,12.0,2024-05-11T01:58:04.687680Z,-0.20235616297766656,1.2870467219593382,-0.01641431455182868,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,24.0,2024-05-11T13:58:04.687680Z,0.09856923172002896,3.4439096401562077,0.05521192717385026,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,36.0,2024-05-12T01:58:04.687680Z,0.025925481268317396,10.724248987169725,-0.10326445616199642,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,48.0,2024-05-12T13:58:04.687680Z,-0.42778820201678114,15.756223389454634,0.16660326651530966,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,72.0,2024-05-13T13:58:04.687680Z,-0.5541739137487585,29.663277724526218,0.21267724113875364,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,96.0,2024-05-14T13:58:04.687680Z,0.10893926401265322,42.44499605614886,-0.022615622145075065,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,120.0,2024-05-15T13:58:04.687680Z,0.8034886884878922,52.87124323337172,-0.1703977180156393,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,144.0,2024-05-16T13:58:04.687680Z,0.65702414251313,62.428808264396636,-0.14308134692825547,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T13:58:04.687680Z,168.0,2024-05-17T13:58:04.687680Z,-0.20230012544582632,74.63264995544326,0.06574064514758504,502.7520158694533,7.611089107105063
B,39451,storm,2024-05-10T21:52:05.883744Z,6.0,2024-05-11T03:52:05.883744Z,0.11619986665204159,0.4685917609890769,0.19045823277058677,502.72727574703185,7.611102789914335
B,39451,storm,2024-05-10T21:52:05.883744Z,12.0,2024-05-11T09:52:05.883744Z,-0.09692893131840566,-0.24936471850447695,0.03851487439030202,502.72727574703185,7.611102789914335
B,39451,storm,2024-05-10T21:52:05.883744Z,24.0,2024-05-11T21:52:05.883744Z,-0.07724420500482909,3.3951232684303845,0.13332335244558147,502.72727574703185,7.611102789914335
B,39451,storm,2024-05-10T21:52:05.883744Z,36.0,2024-05-12T09:52:05.883744Z,-0.04577492766891872,8.118504868525271,-0.1434077428328009,502.72727574703185,7.611102789914335
B,39451,storm,2024-05-10T21:52:05.883744Z,48.0,2024-05-12T21:52:05.883744Z,-0.20405875565631937,11.65831172732475,0.04739367637054537,502.72727574703185,7.611102789914335
