hour_utc,constellation,n_catalogued,n_above,mean_simultaneous,max_simultaneous
2024-04-20T10:00:00Z,QZSS,5,0,0.0,0
2024-04-20T10:00:00Z,Iridium,109,12,1.7666666666666666,4
2024-04-20T10:00:00Z,Globalstar,85,32,6.616666666666666,10
2024-04-20T10:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T10:00:00Z,Starlink,5819,1151,113.85,131
2024-04-20T10:00:00Z,OneWeb,634,139,23.3,27
2024-04-20T11:00:00Z,GPS,75,24,21.333333333333332,23
2024-04-20T11:00:00Z,GLONASS,143,46,37.53333333333333,42
2024-04-20T11:00:00Z,Galileo,28,8,7.983333333333333,8
2024-04-20T11:00:00Z,BeiDou,54,19,15.916666666666666,17
2024-04-20T11:00:00Z,NavIC,9,5,5.0,5
2024-04-20T11:00:00Z,QZSS,5,0,0.0,0
2024-04-20T11:00:00Z,Iridium,109,22,2.5833333333333335,6
2024-04-20T11:00:00Z,Globalstar,85,34,7.233333333333333,13
2024-04-20T11:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T11:00:00Z,Starlink,5819,1171,115.16666666666667,126
2024-04-20T11:00:00Z,OneWeb,634,140,22.666666666666668,26
2024-04-20T12:00:00Z,GPS,75,26,22.616666666666667,24
2024-04-20T12:00:00Z,GLONASS,143,39,32.28333333333333,34
2024-04-20T12:00:00Z,Galileo,28,8,6.85,7
2024-04-20T12:00:00Z,BeiDou,54,18,16.966666666666665,17
2024-04-20T12:00:00Z,NavIC,9,5,5.0,5
2024-04-20T12:00:00Z,QZSS,5,0,0.0,0
2024-04-20T12:00:00Z,Iridium,109,15,1.8333333333333333,4
2024-04-20T12:00:00Z,Globalstar,85,31,6.233333333333333,11
2024-04-20T12:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T12:00:00Z,Starlink,5819,1153,113.85,126
2024-04-20T12:00:00Z,OneWeb,634,130,21.5,25
2024-04-20T13:00:00Z,GPS,75,23,22.8,23
2024-04-20T13:00:00Z,GLONASS,143,35,31.166666666666668,33
2024-04-20T13:00:00Z,Galileo,28,6,4.883333333333334,5
2024-04-20T13:00:00Z,BeiDou,54,18,16.516666666666666,17
2024-04-20T13:00:00Z,NavIC,9,5,5.0,5
2024-04-20T13:00:00Z,QZSS,5,0,0.0,0
2024-04-20T13:00:00Z,Iridium,109,23,2.683333333333333,5
2024-04-20T13:00:00Z,Globalstar,85,33,5.966666666666667,14
2024-04-20T13:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T13:00:00Z,Starlink,5819,1235,119.53333333333333,139
2024-04-20T13:00:00Z,OneWeb,634,130,21.283333333333335,24
2024-04-20T14:00:00Z,GPS,75,27,22.066666666666666,23
